credit_id,due_date,monthly_payment,remaining_amount,effective_start_date,effective_end_date,is_first,is_last
1,5/5/2022,500,1800,20220501,20220506,1,0
1,6/4/2022,500,1300,20220501,20220506,1,0
1,7/4/2022,500,800,20220501,20220506,1,0
1,8/3/2022,500,300,20220501,20220506,1,0
1,9/2/2022,300,0,20220501,20220506,1,0
1,5/5/2022,500,2050,20220507,20220531,0,1
1,6/4/2022,250,1800,20220507,20220531,0,1
1,7/4/2022,250,1550,20220507,20220531,0,1
1,8/3/2022,250,1300,20220507,20220531,0,1
1,9/2/2022,250,1050,20220507,20220531,0,1
1,10/2/2022,250,800,20220507,20220531,0,1
1,11/1/2022,250,550,20220507,20220531,0,1
1,12/1/2022,250,300,20220507,20220531,0,1
1,12/31/2022,50,0,20220507,20220531,0,1
2,5/15/2022,1000,3555,20220514,20220531,1,1
2,6/14/2022,1000,2555,20220514,20220531,1,1
2,7/14/2022,1000,1555,20220514,20220531,1,1
2,8/13/2022,1000,555,20220514,20220531,1,1
2,9/12/2022,555,0,20220514,20220531,1,1
3,5/30/2022,3000,21000,20220515,20220531,1,1
3,6/29/2022,3000,18000,20220515,20220531,1,1
3,7/29/2022,3000,15000,20220515,20220531,1,1
3,8/28/2022,3000,12000,20220515,20220531,1,1
3,9/27/2022,3000,9000,20220515,20220531,1,1
3,10/27/2022,3000,6000,20220515,20220531,1,1
3,11/26/2022,3000,3000,20220515,20220531,1,1
3,12/26/2022,3000,0,20220515,20220531,1,1
4,5/31/2022,900,0,20220430,20220531,1,1
