credit_id,due_date,monthly_payment,remaining_amount,effective_end_date
1,5/5/2022,500,2050,6/1/2022
1,6/4/2022,250,1800,6/1/2022
1,7/4/2022,250,1550,6/1/2022
1,8/3/2022,250,1300,6/1/2022
1,9/2/2022,250,1050,6/1/2022
1,10/2/2022,250,800,6/1/2022
1,11/1/2022,250,550,6/1/2022
1,12/1/2022,250,300,6/1/2022
1,12/31/2022,50,0,6/1/2022
2,5/15/2022,1000,3555,6/1/2022
2,6/14/2022,600,2955,6/1/2022
2,7/14/2022,600,2355,6/1/2022
2,8/13/2022,600,1755,6/1/2022
2,9/12/2022,600,1155,6/1/2022
2,10/12/2022,600,555,6/1/2022
2,11/11/2022,555,0,6/1/2022
3,5/30/2022,3000,21000,6/1/2022
3,6/29/2022,5000,16000,6/1/2022
3,7/29/2022,5000,11000,6/1/2022
3,8/28/2022,5000,6000,6/1/2022
3,9/27/2022,5000,1000,6/1/2022
3,10/27/2022,1000,0,6/1/2022
